ID,label
ps3tq4,Coto Makassar
nh6b8a,Ayam Goreng
ixzkju,Pempek
avujaj,Soto
yp351h,Nasi Goreng
iah4xw,Sate Madura
mry1qo,Pempek
ywtpui,Ayam Bakar
d9g2f4,Ayam Bakar
iu773v,Ayam Pop
wxxk9o,Ayam Betutu
xnnl0u,Sate Madura
axl5lg,Ayam Betutu
yw3eb8,Sate Padang
ok3dka,Ayam Goreng
qv0t7w,Soto
m7t9qy,Nasi Goreng
9pnm4o,Coto Makassar
n0bto8,Pempek
6rkuj7,Ayam Betutu
ns3w84,Nasi Goreng
6zfcis,Gado Gado
unkfb0,Pempek
iuz43x,Gado Gado
z3bvq4,Sate Madura
ajqxkf,Sate Madura
crius0,Bakso
mtmyvd,Ayam Pop
9dm8h9,Rawon
44jjl0,Pempek
2z2gty,Soto
6yiv9v,Ayam Bakar
6hl0kj,Soto
5r8rlo,Coto Makassar
j3cj82,Rendang
393ykh,Pempek
byxpac,Soto
drilde,Sate Padang
07xk29,Rawon
c43wb7,Gado Gado
we0z4w,Ayam Betutu
0mcxwy,Coto Makassar
ouov1r,Sate Madura
ua87ko,Soto
hh40r0,Bakso
sx0f15,Soto
4nw97o,Sate Madura
e58ogy,Gado Gado
zqt0mq,Sate Madura
j7gyun,Bakso
5od8a8,Rendang
souf92,Sate Padang
hdevts,Gado Gado
n92f4u,Nasi Goreng
h5puqm,Gado Gado
6lv6fq,Rendang
5xs20q,Kotak Putih
lor0kr,Pempek
gvmyzj,Sate Padang
o7ulw5,Ayam Goreng
vp7fxu,Pempek
nu7wmm,Pempek
0zbnxf,Sate Madura
rck10s,Coto Makassar
9m5tgg,Sate Padang
mjwj4n,Ayam Goreng
s6ge0j,Soto
m8keg6,Gado Gado
gr31o3,Ayam Bakar
t1arm4,Rawon
genq7h,Nasi Goreng
ds1sbd,Rendang
4qhy6g,Coto Makassar
zrpk7i,Sate Madura
e949iw,Nasi Goreng
thoo2a,Bakso
jzh89e,Rawon
76mneh,Pempek
lberjn,Sate Padang
nncvlz,Pempek
qlokds,Pempek
zjns82,Bakso
5kxo7y,Ayam Goreng
taiozz,Pempek
oj72h0,Nasi Goreng
f5z96d,Nasi Goreng
3kcczj,Rawon
5vxkx1,Pempek
ybxq3l,Ayam Goreng
ug4wwt,Rendang
mgbbha,Kotak Putih
t134f4,Rawon
zdizyn,Rawon
yzfeno,Rendang
fx114m,Rendang
3pt42l,Ayam Goreng
l4ua7b,Ayam Bakar
d2pb4s,Soto
de0ye7,Ayam Goreng
biwczm,Bakso
ww2b9c,Nasi Goreng
bsyld4,Bakso
qqgq19,Sate Padang
99856s,Pempek
sj0bdq,Sate Madura
pxsddz,Sate Padang
vbq3w2,Rendang
au1dpq,Coto Makassar
3d736x,Pempek
djpcp7,Coto Makassar
qfnqdh,Soto
7farws,Coto Makassar
sjluhv,Ayam Goreng
4y3i1u,Bakso
4vukw0,Ayam Bakar
ydpmyq,Kotak Putih
9jbzle,Kotak Putih
llyfv9,Kotak Putih
rkjsih,Ayam Betutu
odqg8r,Ayam Goreng
3vdnns,Ayam Goreng
p8g1qk,Gado Gado
we7gfa,Coto Makassar
fmea84,Soto
bqaovg,Sate Madura
sf172m,Sate Padang
o8mydl,Ayam Bakar
obyfyg,Nasi Goreng
mzgrns,Ayam Pop
6yo359,Ayam Bakar
9w86ut,Rendang
d4rzqt,Ayam Bakar
sb59gy,Pempek
5rga9v,Rendang
4i62dy,Bakso
0i1gxc,Nasi Goreng
g42bqr,Gado Gado
wptd7t,Sate Padang
kd7khx,Sate Madura
qs69ee,Gado Gado
da99i4,Bakso
gdrstf,Ayam Betutu
gznwms,Ayam Pop
ru4er4,Sate Madura
h7k6zx,Coto Makassar
5t52y1,Sate Padang
ke8i6h,Coto Makassar
wr3dzc,Pempek
rhrepw,Sate Padang
anuf5o,Ayam Goreng
bo2o84,Sate Padang
6vw1s8,Ayam Bakar
xdg1bl,Ayam Betutu
as5wyd,Rawon
2wqgru,Ayam Pop
f0w4am,Sate Padang
92bewr,Ayam Betutu
zgfpaf,Rendang
5b9cup,Soto
hrtr7a,Ayam Betutu
2725xq,Pempek
7djy3o,Ayam Betutu
uxr2zd,Coto Makassar
s55y8u,Coto Makassar
o79epp,Soto
7gx0ph,Nasi Goreng
u0e1s7,Ayam Goreng
czhp8e,Sate Madura
37o3se,Soto
4bv46t,Ayam Betutu
akqk8n,Ayam Pop
n705xf,Ayam Goreng
bal36h,Rendang
044hgc,Sate Madura
bktczj,Ayam Bakar
bu9thb,Sate Madura
8harg6,Rendang
se44f1,Sate Padang
uwxaxx,Ayam Betutu
jmnge2,Ayam Goreng
7okip0,Nasi Goreng
luzrhc,Ayam Bakar
mvu9eq,Gado Gado
8hqguy,Gado Gado
gbs1g2,Ayam Goreng
kkdq48,Sate Padang
l89ykz,Coto Makassar
z5ujht,Bakso
9iml7q,Ayam Betutu
gvsvqv,Soto
7wgv07,Soto
glvnbp,Sate Madura
cs9s88,Nasi Goreng
v3w4us,Ayam Betutu
8wxx92,Ayam Pop
rjs1sp,Coto Makassar
mkknty,Rawon
k1tffa,Kotak Putih
8gjh9g,Bakso
kssxre,Sate Padang
mmul07,Rendang
32mwck,Soto
8qf49y,Soto
t2nb17,Ayam Goreng
eef3pb,Pempek
bwtwjw,Sate Madura
kwixkt,Sate Padang
qk2ek0,Sate Padang
o46o40,Sate Madura
wmn14x,Rawon
0u30lb,Ayam Goreng
o2qbwc,Coto Makassar
58rivz,Rendang
vbi5vh,Soto
iqzdcz,Gudeg
xmgm5c,Kotak Putih
kpr7mt,Ayam Bakar
vo0c3m,Coto Makassar
31xkik,Gado Gado
9kvvqn,Bakso
tgcod8,Ayam Bakar
un3omp,Kotak Putih
f0ylta,Ayam Goreng
hdewbx,Nasi Goreng
o801h0,Rawon
jxr91y,Bakso
hg80vu,Pempek
8x53sf,Pempek
j9shfe,Rawon
hlvbue,Rendang
ph2zhb,Rendang
gupp2w,Bakso
w93sls,Sate Padang
p4sr2u,Ayam Bakar
wom3zu,Coto Makassar
sg8hwh,Sate Padang
c86b9c,Gado Gado
m53r9a,Sate Madura
xo6csy,Kotak Putih
51q8n4,Bakso
znupfh,Rendang
ley1wh,Ayam Pop
it413f,Pempek
m89v05,Nasi Goreng
lao6ir,Ayam Goreng
hdzld5,Ayam Pop
dhw7cp,Pempek
0ajmcr,Ayam Bakar
nquemu,Ayam Goreng
obyekx,Rendang
mcfffm,Ayam Pop
jjpnkj,Sate Padang
dqouw7,Ayam Bakar
612djq,Nasi Goreng
sw8byg,Ayam Goreng
s00hjr,Sate Madura
f902re,Sate Madura
2b3cw1,Ayam Bakar
gml59a,Nasi Goreng
jumhb4,Rawon
u9k008,Ayam Bakar
fjv6i2,Soto
r36pzw,Pempek
nwglxd,Gudeg
n7nm4v,Rendang
z29wog,Ayam Pop
rj0rpq,Ayam Goreng
ie9ssq,Sate Madura
zsqdoo,Gudeg
a5tqj3,Rawon
w8crj3,Rawon
plnf7f,Sate Padang
b6wrjn,Rendang
ctiw0b,Coto Makassar
lwo2eg,Pempek
0cczsl,Nasi Goreng
asvaed,Coto Makassar
eiyccb,Gudeg
3c68du,Rendang
klxd55,Ayam Bakar
hn81x0,Rawon
t6zhsn,Pempek
sp3l7v,Ayam Pop
rph8uo,Sate Padang
ynrd8w,Coto Makassar
u2aviq,Sate Padang
4kfq4b,Pempek
bnbfl2,Ayam Betutu
qpwjg4,Rendang
4c4kh9,Coto Makassar
6p8yqn,Sate Madura
3w3poi,Rawon
asvbdc,Ayam Goreng
sccf2o,Coto Makassar
dls7ug,Ayam Pop
c2qwl3,Pempek
ufg3k4,Ayam Betutu
o1zly8,Coto Makassar
6fkp8a,Bakso
oza4lj,Sate Madura
wzggze,Soto
gpec3p,Kotak Putih
dchey9,Ayam Pop
wkth2c,Gudeg
ngmsmj,Sate Madura
r46qh1,Nasi Goreng
7vjb9a,Sate Padang
2tnvkw,Ayam Bakar
0t4dw6,Soto
gwepel,Ayam Betutu
m3u2yz,Soto
9d5n2u,Sate Madura
9yytzs,Coto Makassar
hc03ay,Sate Madura
xvoog1,Ayam Pop
5qbss3,Ayam Bakar
r9v990,Nasi Goreng
lotlz6,Ayam Goreng
aeim5a,Sate Madura
0sb8vl,Ayam Betutu
urkksw,Gudeg
viv43m,Nasi Goreng
93aq8c,Ayam Betutu
t5a3bl,Gado Gado
rymi9p,Ayam Pop
idf6wu,Sate Padang
n044y6,Pempek
r95uuu,Ayam Pop
3usw92,Pempek
jfaakw,Bakso
7zfou9,Gado Gado
ohi59o,Ayam Betutu
g759td,Ayam Goreng
phvaaw,Ayam Pop
d1hp6g,Pempek
5lgcht,Coto Makassar
n15gzn,Nasi Goreng
i1pnbe,Bakso
v4f1yg,Ayam Goreng
mz0jyl,Ayam Pop
wb88ci,Bakso
nb745a,Sate Madura
obfa7d,Sate Madura
a80osn,Ayam Pop
q0x5x5,Sate Madura
cc7iqw,Coto Makassar
0b1pxi,Pempek
w8ciua,Coto Makassar
07bpnp,Gudeg
p5ln23,Nasi Goreng
h3s0k6,Soto
uwbkay,Nasi Goreng
ekni7k,Ayam Betutu
14ll5k,Ayam Betutu
ha7qdb,Ayam Betutu
36nii2,Ayam Bakar
glfwz1,Rawon
451f4s,Pempek
846gqq,Sate Padang
ugzwii,Sate Madura
x3w0ds,Ayam Goreng
rjh61y,Sate Madura
avqyyu,Ayam Betutu
heygzc,Sate Madura
jecq12,Gado Gado
mgkusl,Gudeg
0aj0j3,Kotak Putih
yop8bw,Rawon
cu68lc,Sate Madura
7e2cqh,Soto
zgble3,Gado Gado
8fl8pm,Ayam Betutu
j0bllt,Bakso
5pl9tb,Ayam Bakar
2gz7kr,Soto
kzgnnw,Ayam Pop
9j90si,Sate Madura
6gbtf2,Coto Makassar
ehqk3y,Pempek
e3cv4j,Ayam Bakar
mgywp6,Ayam Betutu
0wsr1r,Pempek
bue3ip,Soto
b4yxb2,Gado Gado
cbih9x,Bakso
c52t2s,Ayam Pop
czuhtn,Sate Madura
hvab8n,Sate Madura
2otf5b,Rendang
4nso9p,Ayam Goreng
dowese,Coto Makassar
5i7dr4,Rawon
q1dg83,Soto
ehjp2j,Ayam Goreng
862wxy,Gudeg
qkwhmv,Pempek
riwd98,Rendang
yb6eau,Coto Makassar
73wypf,Sate Madura
7eotob,Bakso
8gap3e,Coto Makassar
ypevfn,Ayam Betutu
atkdao,Nasi Goreng
ygd37o,Rawon
5u89p9,Sate Madura
6ch0xn,Ayam Bakar
gozirt,Rendang
p9w9dp,Coto Makassar
9ymcww,Rendang
slmuor,Ayam Pop
pf7aqf,Kotak Putih
zs1yro,Rendang
134ovu,Sate Padang
5ohruw,Ayam Pop
fk8utf,Ayam Pop
z2h8ww,Sate Padang
lnd40g,Gudeg
nkadpv,Kotak Putih
7h3u91,Coto Makassar
f9y79f,Ayam Betutu
rm9vld,Sate Madura
48pef6,Ayam Bakar
6uwumk,Gudeg
7todcl,Gado Gado
6n4g9s,Bakso
scxzje,Ayam Bakar
77fwnl,Pempek
wojr93,Sate Padang
sl9dhy,Ayam Goreng
rfjec8,Soto
al7981,Soto
eti5hx,Gado Gado
a6idc6,Gado Gado
y98eo4,Gudeg
i3elwp,Gado Gado
a3u99t,Coto Makassar
ndz9ux,Ayam Bakar
suqqga,Bakso
kik9vw,Ayam Goreng
nene62,Gudeg
2h4j6y,Sate Padang
wwxbjf,Gado Gado
kr1g9u,Gado Gado
5wb84x,Gudeg
nluknd,Soto
a8ul97,Ayam Betutu
swesps,Nasi Goreng
otqymg,Gudeg
h9t342,Ayam Betutu
pix8tl,Ayam Bakar
p5n7gd,Pempek
jpydrl,Coto Makassar
cltttb,Rendang
4i6dba,Ayam Bakar
h4okjz,Bakso
cn17j6,Pempek
9zhxpr,Sate Madura
8wkfvf,Nasi Goreng
b8srln,Sate Madura
qo6ljp,Kotak Putih
fr8fzv,Nasi Goreng
6y1far,Coto Makassar
h25m8x,Gudeg
lbhl8b,Ayam Bakar
p45qd6,Kotak Putih
know6l,Ayam Betutu
3wsdaj,Rawon
76pper,Gado Gado
wmzhz9,Ayam Betutu
8nbifs,Rendang
ngkx2x,Pempek
m0q8mr,Bakso
ssn23o,Ayam Betutu
9jfymi,Ayam Betutu
zjfzcd,Gudeg
8vps5b,Soto
rbfkhy,Sate Padang
ygpjho,Sate Madura
o48ytc,Coto Makassar
8bcpf9,Bakso
ax1fij,Rawon
9w4enl,Pempek
y1g1ev,Kotak Putih
vnwxs5,Coto Makassar
43ceq2,Coto Makassar
p3juui,Pempek
kf3mh3,Rendang
p3ogr3,Pempek
9x8owp,Gado Gado
vypo1n,Nasi Goreng
9resvi,Pempek
ps3o3r,Soto
5r0giz,Sate Madura
e82en4,Ayam Pop
tbxx1n,Kotak Putih
zr2t2e,Sate Madura
3yrmom,Pempek
7atc1b,Sate Madura
ipz4fd,Ayam Betutu
uw8jaq,Rendang
kbv4rf,Rawon
7yztn8,Soto
6fc853,Gudeg
amiyak,Kotak Putih
qsh4f3,Pempek
yqphe9,Nasi Goreng
nuxn9u,Bakso
nt3ucf,Ayam Bakar
bkefsm,Ayam Pop
5wj66s,Sate Madura
o1nem1,Pempek
jb3t6o,Coto Makassar
8fuspg,Ayam Betutu
y4lvap,Ayam Goreng
xl5cg7,Ayam Bakar
we5nwp,Gado Gado
rhhk7d,Ayam Betutu
of1ki9,Pempek
rp2hx6,Bakso
tq629y,Ayam Pop
ufcace,Ayam Goreng
2hd1qr,Bakso
bpd5rj,Rawon
dkof45,Rendang
ej5rof,Gado Gado
8he9j8,Sate Padang
mmqkwa,Rawon
722inx,Bakso
9abyf4,Ayam Betutu
uz8iqs,Bakso
zek702,Nasi Goreng
e1p1x0,Rendang
y9a9tn,Bakso
jxpfgd,Ayam Betutu
mbdlka,Sate Madura
pci4oj,Gudeg
kgovqk,Soto
0jhqn6,Ayam Betutu
b2druv,Coto Makassar
pd2liy,Ayam Betutu
tar2sq,Coto Makassar
t5dzvj,Rendang
9g2vvc,Sate Madura
2a5vww,Rawon
6rsul3,Ayam Goreng
ixxpmh,Sate Madura
v3wg7q,Sate Madura
jw1dxz,Sate Madura
vttgn3,Gudeg
grsft8,Soto
xqmewl,Bakso
bqafeh,Coto Makassar
yhpp0w,Ayam Betutu
qldnyk,Coto Makassar
bjy7vx,Ayam Goreng
s0ltmv,Soto
nu5joy,Soto
ju2boj,Gado Gado
5ba669,Nasi Goreng
b38wdq,Gudeg
0r69mn,Kotak Putih
9gnbuk,Sate Padang
fbh3gx,Ayam Pop
o4hkkr,Kotak Putih
ld1dk4,Gado Gado
5fp27u,Ayam Goreng
zr3lmm,Coto Makassar
jo34e4,Nasi Goreng
audd7c,Ayam Bakar
087mu2,Ayam Goreng
012nt0,Ayam Betutu
rdr8ze,Sate Padang
2grokf,Sate Madura
bk0btq,Ayam Betutu
r1qq4h,Bakso
10qam6,Bakso
1pgukw,Ayam Betutu
eh2vix,Ayam Betutu
lo8p7a,Bakso
1ony3s,Rawon
9k3y2g,Ayam Bakar
gey99r,Ayam Betutu
rkxw0f,Kotak Putih
idvu3q,Ayam Pop
m95dai,Sate Padang
bkuecj,Sate Madura
kwu3kt,Ayam Pop
47tdl8,Nasi Goreng
ccedp2,Ayam Betutu
6oxra8,Ayam Pop
6egtvx,Coto Makassar
2ip0aa,Ayam Pop
1301op,Soto
co79sd,Sate Madura
1t8fxm,Kotak Putih
kc0fqj,Ayam Bakar
9mewwa,Gado Gado
jisz5u,Pempek
8q8kc3,Gudeg
h76bnm,Rawon
7tzm66,Sate Madura
ye59oz,Pempek
mmw3kn,Kotak Putih
ylqw64,Ayam Goreng
opbeax,Gado Gado
7mnfrt,Sate Padang
afwgja,Ayam Bakar
yo19i3,Ayam Bakar
0p8uzz,Rawon
6qo7gf,Bakso
hnnlb4,Pempek
5iflf9,Sate Padang
527xvc,Ayam Goreng
clqr08,Kotak Putih
qycmkm,Gudeg
ggjp25,Gado Gado
zc32ka,Sate Madura
mks9so,Ayam Bakar
krnow2,Ayam Betutu
1xfy6q,Gudeg
s4pw00,Sate Padang
nxm81r,Pempek
l6rh6g,Ayam Pop
qpn3iv,Bakso
0bdt1m,Ayam Betutu
i4yyry,Ayam Betutu
ysr9ym,Gado Gado
52jxyy,Ayam Goreng
dscxrt,Rendang
y30bmc,Bakso
2a0lwd,Bakso
87tew2,Sate Madura
lf1nfg,Kotak Putih
n1sqxp,Soto
njvqho,Coto Makassar
ilfsf3,Soto
nthzrp,Rendang
gbz6u6,Soto
sbo0me,Soto
ab3fto,Ayam Goreng
kbiakn,Gado Gado
7rz451,Ayam Bakar
zhwh3x,Ayam Goreng
6vx65b,Gado Gado
n2vgo9,Bakso
turo2l,Pempek
60qxy2,Coto Makassar
6fg2an,Coto Makassar
zalkj2,Gado Gado
mhxypc,Soto
38izbc,Bakso
77niu1,Kotak Putih
wf0cn5,Rendang
qwpjoe,Coto Makassar
91lz87,Gado Gado
ug3jqa,Gado Gado
gucpol,Soto
z5o4n2,Ayam Pop
gcw7kj,Coto Makassar
5q1nxy,Ayam Pop
cv63o8,Gado Gado
wu17ex,Ayam Goreng
a7kryn,Coto Makassar
t6dgrp,Ayam Bakar
7olccv,Soto
xfud78,Gudeg
qahg6b,Kotak Putih
p571ek,Gado Gado
